dom;house
auto;car
książka;book
słońce;sun
woda;water
drzewo;tree
kwiat;flower
ptak;bird
niebo;sky
komputer;computer
stół;table
krzesło;chair
okno;window
drzwi;door
telewizor;television
telefon;phone
kot;cat
pies;dog
lampa;lamp
kawa;coffee
herbata;tea
samochód;car
rower;bicycle
piłka;ball
miasto;city
wieś;village
góra;mountain
rzeka;river
morze;sea
jezioro;lake
las;forest
pole;field
owoc;fruit
warzywo;vegetable
mięso;meat
ryba;fish
chleb;bread
ciasto;cake
cukier;sugar
sól;salt
pieprz;pepper
mleko;milk
gwiazda;star
planeta;planet
gwiazdozbiór;constellation
motyl;butterfly
mrówka;ant
jeż;hedgehog
żaba;frog
słoń;elephant
pociąg;train
autobus;bus
motocykl;motorcycle
