tygrys;tiger
lew;lion
wilk;wolf
krowa;cow
koń;horse
zegar;clock
szkoła;school
nauczyciel;teacher
uczeń;student
lekarz;doctor
piekarz;baker
policjant;police_officer
strażak;firefighter
prawnik;lawyer
inżynier;engineer
naukowiec;scientist
artysta;artist
muzyk;musician
aktor;actor
reżyser;director
film;movie
muzyka;music
czasopismo;magazine
gazeta;newspaper
restauracja;restaurant
szpital;hospital
apteka;pharmacy
biblioteka;library
park;park
zoo;zoo
stadion;stadium
muzeum;museum
galeria;gallery
sklep;shop
samolot;airplane
